date,season,year,month,holiday,weekday,weather,temperature,humidity,windspeed,casual,registered,total_count
6/04/2011,Summer,2011,4,0,Thurs,1,16.02,47.08,17.63,413,2395,2808
7/04/2011,Summer,2011,4,0,Fri,1,17.94,60.29,10.87,571,2570,3141
8/04/2011,Summer,2011,4,0,Sat,2,13.77,83.63,15.21,172,1299,1471
9/04/2011,Summer,2011,4,0,Sun,2,14.04,87.75,8.92,879,1576,2455
10/04/2011,Summer,2011,4,0,Mon,2,17.49,85.75,9.83,1188,1707,2895
11/04/2011,Summer,2011,4,0,Tues,2,24.42,71.7,21.74,855,2493,3348
12/04/2011,Summer,2011,4,0,Wed,2,20.6,73.92,18.42,257,1777,2034
13/04/2011,Summer,2011,4,0,Thurs,2,16.91,81.92,16.79,209,1953,2162
14/04/2011,Summer,2011,4,0,Fri,1,19.17,54.04,7.42,529,2738,3267
15/04/2011,Summer,2011,4,1,Sat,1,18.31,67.13,15.17,642,2484,3126
16/04/2011,Summer,2011,4,0,Sun,3,17.66,88.83,22.83,121,674,795
17/04/2011,Summer,2011,4,0,Mon,1,18.72,47.96,20.33,1558,2186,3744
18/04/2011,Summer,2011,4,0,Tues,1,21.01,54.25,10.96,669,2760,3429
19/04/2011,Summer,2011,4,0,Wed,2,20.74,66.58,10.58,409,2795,3204
20/04/2011,Summer,2011,4,0,Thurs,1,24.4,61.42,16.21,613,3331,3944
21/04/2011,Summer,2011,4,0,Fri,1,18.83,40.71,21.79,745,3444,4189
22/04/2011,Summer,2011,4,0,Sat,2,13.8,72.96,14.71,177,1506,1683
23/04/2011,Summer,2011,4,0,Sun,2,18.86,88.79,15.46,1462,2574,4036
24/04/2011,Summer,2011,4,0,Mon,2,23.85,81.08,12.88,1710,2481,4191
25/04/2011,Summer,2011,4,0,Tues,1,24.87,77.67,12.42,773,3300,4073
26/04/2011,Summer,2011,4,0,Wed,1,25.9,72.92,21.88,678,3722,4400
27/04/2011,Summer,2011,4,0,Thurs,2,25.42,83.54,20.92,547,3325,3872
28/04/2011,Summer,2011,4,0,Fri,2,25.32,70.08,21.5,569,3489,4058
29/04/2011,Summer,2011,4,0,Sat,1,20.91,45.71,16.08,878,3717,4595
30/04/2011,Summer,2011,4,0,Sun,1,19.37,50.33,15.75,1965,3347,5312
1/05/2011,Summer,2011,5,0,Mon,2,18.52,76.21,7.13,1138,2213,3351
2/05/2011,Summer,2011,5,0,Tues,2,22.52,73,12.29,847,3554,4401
3/05/2011,Summer,2011,5,0,Wed,2,25.28,69.71,22.96,603,3848,4451
4/05/2011,Summer,2011,5,0,Thurs,2,16.98,73.71,22.04,255,2378,2633
5/05/2011,Summer,2011,5,0,Fri,1,18.83,44.42,19.79,614,3819,4433
6/05/2011,Summer,2011,5,0,Sat,1,19.65,59,15.29,894,3714,4608
7/05/2011,Summer,2011,5,0,Sun,1,21.32,54.13,10.75,1612,3102,4714
8/05/2011,Summer,2011,5,0,Mon,1,21.66,63.17,5,1401,2932,4333
9/05/2011,Summer,2011,5,0,Tues,1,21.83,58.88,11.79,664,3698,4362
10/05/2011,Summer,2011,5,0,Wed,1,21.83,48.92,7.75,694,4109,4803
11/05/2011,Summer,2011,5,0,Thurs,1,22.24,63.29,8.08,550,3632,4182
12/05/2011,Summer,2011,5,0,Fri,1,21.94,74.75,12.71,695,4169,4864
13/05/2011,Summer,2011,5,0,Sat,2,21.01,86.33,12.04,692,3413,4105
14/05/2011,Summer,2011,5,0,Sun,2,21.35,92.25,9.04,902,2507,3409
15/05/2011,Summer,2011,5,0,Mon,2,23.06,86.71,10.25,1582,2971,4553
16/05/2011,Summer,2011,5,0,Tues,1,23.68,78.79,8.5,773,3185,3958
17/05/2011,Summer,2011,5,0,Wed,2,23.03,83.79,18.58,678,3445,4123
18/05/2011,Summer,2011,5,0,Thurs,2,22.55,87,13.5,536,3319,3855
19/05/2011,Summer,2011,5,0,Fri,2,21.76,82.96,7.25,735,3840,4575
20/05/2011,Summer,2011,5,0,Sat,1,22,71.96,8.38,909,4008,4917
21/05/2011,Summer,2011,5,0,Sun,1,24.7,62.67,8.08,2258,3547,5805
22/05/2011,Summer,2011,5,0,Mon,1,24.77,74.96,9.92,1576,3084,4660
23/05/2011,Summer,2011,5,0,Tues,2,25.9,81,15.67,836,3438,4274
24/05/2011,Summer,2011,5,0,Wed,2,27.06,74.08,13.88,659,3833,4492
25/05/2011,Summer,2011,5,0,Thurs,1,27.09,69.63,10.33,740,4238,4978
26/05/2011,Summer,2011,5,0,Fri,1,29.04,67.75,13.38,758,3919,4677
27/05/2011,Summer,2011,5,0,Sat,1,27.95,65.38,16.13,871,3808,4679
28/05/2011,Summer,2011,5,0,Sun,1,26.89,72.96,15.42,2001,2757,4758
29/05/2011,Summer,2011,5,0,Mon,1,27.37,81.88,14.33,2355,2433,4788
30/05/2011,Summer,2011,5,1,Tues,1,30.07,68.5,8.79,1549,2549,4098
31/05/2011,Summer,2011,5,0,Wed,1,31.78,63.67,7.46,673,3309,3982
1/06/2011,Summer,2011,6,0,Thurs,2,31.33,67.71,13.88,513,3461,3974
2/06/2011,Summer,2011,6,0,Fri,1,29.32,30.5,19.58,736,4232,4968
3/06/2011,Summer,2011,6,0,Sat,1,25.42,35.42,16.96,898,4414,5312
4/06/2011,Summer,2011,6,0,Sun,1,26.04,45.63,8.25,1869,3473,5342
5/06/2011,Summer,2011,6,0,Mon,2,26.58,65.25,9.29,1685,3221,4906
6/06/2011,Summer,2011,6,0,Tues,1,27.81,60,8.17,673,3875,4548
7/06/2011,Summer,2011,6,0,Wed,1,29.01,59.79,12.58,763,4070,4833
8/06/2011,Summer,2011,6,0,Thurs,1,31.81,62.21,9.17,676,3725,4401
9/06/2011,Summer,2011,6,0,Fri,2,33.14,56.83,10.04,563,3352,3915
10/06/2011,Summer,2011,6,0,Sat,1,30.96,60.5,9.42,815,3771,4586
11/06/2011,Summer,2011,6,0,Sun,1,29.73,65.46,10.37,1729,3237,4966
12/06/2011,Summer,2011,6,0,Mon,1,28.39,74.79,10.96,1467,2993,4460
13/06/2011,Summer,2011,6,0,Tues,1,26.04,49.46,20.46,863,4157,5020
14/06/2011,Summer,2011,6,0,Wed,1,24.77,50.71,18.04,727,4164,4891
15/06/2011,Summer,2011,6,0,Thurs,1,25.69,47.17,11.25,769,4411,5180
16/06/2011,Summer,2011,6,0,Fri,2,25.76,68.83,13.83,545,3222,3767
17/06/2011,Summer,2011,6,0,Sat,1,26.62,73.58,9.58,863,3981,4844
18/06/2011,Summer,2011,6,0,Sun,1,28.56,67.04,8,1807,3312,5119
19/06/2011,Summer,2011,6,0,Mon,2,28.67,66.67,6.83,1639,3105,4744
20/06/2011,Summer,2011,6,0,Tues,2,26.04,74.63,10.42,699,3311,4010
21/06/2011,Autumn,2011,6,0,Wed,2,27.91,77.04,11.46,774,4061,4835
22/06/2011,Autumn,2011,6,0,Thurs,1,30.07,70.75,11.54,661,3846,4507
23/06/2011,Autumn,2011,6,0,Fri,2,29.86,70.33,16,746,4044,4790
24/06/2011,Autumn,2011,6,0,Sat,1,29.69,57.33,14.88,969,4022,4991
25/06/2011,Autumn,2011,6,0,Sun,1,28.5,48.33,14.04,1782,3420,5202
26/06/2011,Autumn,2011,6,0,Mon,1,27.88,51.33,6.33,1920,3385,5305
27/06/2011,Autumn,2011,6,0,Tues,2,27.98,65.83,7.21,854,3854,4708
28/06/2011,Autumn,2011,6,0,Wed,1,30.51,63.42,9.67,732,3916,4648
29/06/2011,Autumn,2011,6,0,Thurs,1,29.86,49.79,17.54,848,4377,5225
30/06/2011,Autumn,2011,6,0,Fri,1,28.56,43.42,12.42,1027,4488,5515
1/07/2011,Autumn,2011,7,0,Sat,1,29.62,39.63,6.87,1246,4116,5362
2/07/2011,Autumn,2011,7,0,Sun,1,30.27,44.46,7.71,2204,2915,5119
3/07/2011,Autumn,2011,7,0,Mon,2,29.38,68.25,15.33,2282,2367,4649
4/07/2011,Autumn,2011,7,1,Tues,2,29.79,63.79,5.46,3065,2978,6043
5/07/2011,Autumn,2011,7,0,Wed,1,30.61,59.04,8.46,1031,3634,4665
6/07/2011,Autumn,2011,7,0,Thurs,1,29.52,74.33,10.04,784,3845,4629
7/07/2011,Autumn,2011,7,0,Fri,1,30.75,65.13,10.67,754,3838,4592
8/07/2011,Autumn,2011,7,0,Sat,2,29.08,75.79,15.08,692,3348,4040
9/07/2011,Autumn,2011,7,0,Sun,1,30.07,60.92,11.25,1988,3348,5336
10/07/2011,Autumn,2011,7,0,Mon,1,30.65,57.83,12.29,1743,3138,4881
11/07/2011,Autumn,2011,7,0,Tues,1,31.26,63.58,18.92,723,3363,4086
12/07/2011,Autumn,2011,7,0,Wed,1,32.56,55.92,13.42,662,3596,4258
13/07/2011,Autumn,2011,7,0,Thurs,1,30.61,63.17,9.79,748,3594,4342
14/07/2011,Autumn,2011,7,0,Fri,1,27.91,47.63,16.12,888,4196,5084
15/07/2011,Autumn,2011,7,0,Sat,1,27.2,59.13,12.25,1318,4220,5538
16/07/2011,Autumn,2011,7,0,Sun,1,28.15,58.5,13.96,2418,3505,5923
17/07/2011,Autumn,2011,7,0,Mon,1,29.49,60.42,16.42,2006,3296,5302
18/07/2011,Autumn,2011,7,0,Tues,1,30.61,65.13,14.46,841,3617,4458
19/07/2011,Autumn,2011,7,0,Wed,1,31.84,65.04,8.75,752,3789,4541
20/07/2011,Autumn,2011,7,0,Thurs,1,31.5,70.71,7.63,644,3688,4332
21/07/2011,Autumn,2011,7,0,Fri,2,33.42,69.13,14.88,632,3152,3784
22/07/2011,Autumn,2011,7,0,Sat,1,34.78,58.04,8.92,562,2825,3387
23/07/2011,Autumn,2011,7,0,Sun,1,34.82,50,8.79,987,2298,3285
24/07/2011,Autumn,2011,7,0,Mon,1,34.03,55.08,11.33,1050,2556,3606
25/07/2011,Autumn,2011,7,0,Tues,1,30.48,75.71,6.08,568,3272,3840
26/07/2011,Autumn,2011,7,0,Wed,1,31.64,54.08,13.42,750,3840,4590
27/07/2011,Autumn,2011,7,0,Thurs,1,31.78,40.29,12.29,755,3901,4656
28/07/2011,Autumn,2011,7,0,Fri,1,31.95,58.33,11.96,606,3784,4390
29/07/2011,Autumn,2011,7,0,Sat,1,34.37,54.25,11.67,670,3176,3846
30/07/2011,Autumn,2011,7,0,Sun,1,32.97,46.58,11.29,1559,2916,4475
31/07/2011,Autumn,2011,7,0,Mon,1,33.04,48.08,11.04,1524,2778,4302
1/08/2011,Autumn,2011,8,0,Tues,1,31.64,55.08,10.5,729,3537,4266
2/08/2011,Autumn,2011,8,0,Wed,1,32.12,49.13,13.79,801,4044,4845
3/08/2011,Autumn,2011,8,0,Thurs,2,30,65.75,9.08,467,3107,3574
4/08/2011,Autumn,2011,8,0,Fri,2,29.11,75.75,13.21,799,3777,4576
5/08/2011,Autumn,2011,8,0,Sat,1,29.14,63.08,12.37,1023,3843,4866
6/08/2011,Autumn,2011,8,0,Sun,2,29.38,75.5,15.29,1521,2773,4294
7/08/2011,Autumn,2011,8,0,Mon,1,30.44,75.29,13.5,1298,2487,3785
8/08/2011,Autumn,2011,8,0,Tues,1,31.37,59.21,12.88,846,3480,4326
9/08/2011,Autumn,2011,8,0,Wed,1,31.78,57.04,10.13,907,3695,4602
10/08/2011,Autumn,2011,8,0,Thurs,1,31.43,42.42,13.42,884,3896,4780
11/08/2011,Autumn,2011,8,0,Fri,1,29.42,42.38,11.04,812,3980,4792
12/08/2011,Autumn,2011,8,0,Sat,1,29.04,41.5,8.42,1051,3854,4905
13/08/2011,Autumn,2011,8,0,Sun,2,28.12,72.96,14.17,1504,2646,4150
14/08/2011,Autumn,2011,8,0,Mon,2,27.74,81.75,14.92,1338,2482,3820
15/08/2011,Autumn,2011,8,0,Tues,1,27.3,71.21,14,775,3563,4338
16/08/2011,Autumn,2011,8,0,Wed,1,28.73,57.83,15.83,721,4004,4725
17/08/2011,Autumn,2011,8,0,Thurs,1,29.66,57.54,9.63,668,4026,4694
18/08/2011,Autumn,2011,8,0,Fri,1,29.18,65.46,15.62,639,3166,3805
19/08/2011,Autumn,2011,8,0,Sat,2,28.09,72.29,9.33,797,3356,4153
20/08/2011,Autumn,2011,8,0,Sun,1,28.6,67.42,7,1914,3277,5191
21/08/2011,Autumn,2011,8,0,Mon,1,29.14,77,16.67,1249,2624,3873
22/08/2011,Autumn,2011,8,0,Tues,1,28.36,47,18.54,833,3925,4758
23/08/2011,Autumn,2011,8,0,Wed,1,26.27,45.54,9.83,1281,4614,5895
24/08/2011,Autumn,2011,8,0,Thurs,1,27.61,60.5,16.96,949,4181,5130
25/08/2011,Autumn,2011,8,0,Fri,2,28.05,77.17,14.13,435,3107,3542
26/08/2011,Autumn,2011,8,0,Sat,1,28.7,76.13,5.63,768,3893,4661
27/08/2011,Autumn,2011,8,0,Sun,2,27.88,85,25.17,226,889,1115
28/08/2011,Autumn,2011,8,0,Mon,1,28.99,56.18,20.41,1415,2919,4334
29/08/2011,Autumn,2011,8,0,Tues,1,26.1,55.46,10.71,729,3905,4634
30/08/2011,Autumn,2011,8,0,Wed,1,26.21,54.83,8.38,775,4429,5204
31/08/2011,Autumn,2011,8,0,Thurs,1,26.92,59.79,5.58,688,4370,5058
1/09/2011,Autumn,2011,9,0,Fri,1,26.86,63.92,9.5,783,4332,5115
2/09/2011,Autumn,2011,9,0,Sat,2,26.38,72.71,9.38,875,3852,4727
3/09/2011,Autumn,2011,9,0,Sun,1,27.44,71.67,12.42,1935,2549,4484
4/09/2011,Autumn,2011,9,0,Mon,1,29.08,74.21,13.83,2521,2419,4940
5/09/2011,Autumn,2011,9,1,Tues,2,27.61,79.04,14.25,1236,2115,3351
6/09/2011,Autumn,2011,9,0,Wed,3,22.14,88.7,23.04,204,2506,2710
7/09/2011,Autumn,2011,9,0,Thurs,3,24.57,91.71,6.5,118,1878,1996
8/09/2011,Autumn,2011,9,0,Fri,3,25.99,93.96,12.91,153,1689,1842
9/09/2011,Autumn,2011,9,0,Sat,2,26.65,89.79,8.33,417,3127,3544
10/09/2011,Autumn,2011,9,0,Sun,1,27.06,75.38,10.29,1750,3595,5345
11/09/2011,Autumn,2011,9,0,Mon,1,26.79,71.38,7.71,1633,3413,5046
12/09/2011,Autumn,2011,9,0,Tues,1,26.42,69.22,5.96,690,4023,4713
13/09/2011,Autumn,2011,9,0,Wed,1,26.68,71.25,9.5,701,4062,4763
14/09/2011,Autumn,2011,9,0,Thurs,1,27.61,69.71,11.21,647,4138,4785
15/09/2011,Autumn,2011,9,0,Fri,2,23.68,70.92,18.17,428,3231,3659
16/09/2011,Autumn,2011,9,0,Sat,2,19.24,59.04,11,742,4018,4760
17/09/2011,Autumn,2011,9,0,Sun,2,20.16,71.83,12.71,1434,3077,4511
18/09/2011,Autumn,2011,9,0,Mon,1,20.81,69.5,11.96,1353,2921,4274
19/09/2011,Autumn,2011,9,0,Tues,2,22.52,69,10.17,691,3848,4539
20/09/2011,Autumn,2011,9,0,Wed,2,23.03,88.13,9.04,438,3203,3641
21/09/2011,Autumn,2011,9,0,Thurs,2,24.4,90,6.46,539,3813,4352
22/09/2011,Autumn,2011,9,0,Fri,2,25.76,90.21,8.58,555,4240,4795
23/09/2011,Winter,2011,9,0,Sat,2,24.98,97.25,5.25,258,2137,2395
24/09/2011,Winter,2011,9,0,Sun,2,24.87,86.25,5.25,1776,3647,5423
25/09/2011,Winter,2011,9,0,Mon,2,26,84.5,3.38,1544,3466,5010
26/09/2011,Winter,2011,9,0,Tues,2,26.62,84.83,7.42,684,3946,4630
27/09/2011,Winter,2011,9,0,Wed,2,26.1,88.54,7.92,477,3643,4120
28/09/2011,Winter,2011,9,0,Thurs,2,26.04,84.88,9.96,480,3427,3907
29/09/2011,Winter,2011,9,0,Fri,1,25.28,69.92,11.58,653,4186,4839
30/09/2011,Winter,2011,9,0,Sat,1,23.13,64.75,13.83,830,4372,5202
1/10/2011,Winter,2011,10,0,Sun,2,16.81,75.38,19.58,480,1949,2429
2/10/2011,Winter,2011,10,0,Mon,2,14.62,79.17,14.87,616,2302,2918
3/10/2011,Winter,2011,10,0,Tues,2,15.75,76.08,5.58,330,3240,3570
4/10/2011,Winter,2011,10,0,Wed,1,19.85,71,13.79,486,3970,4456
5/10/2011,Winter,2011,10,0,Thurs,1,22.07,64.79,11.88,559,4267,4826
6/10/2011,Winter,2011,10,0,Fri,1,20.26,62.08,9.04,639,4126,4765
7/10/2011,Winter,2011,10,0,Sat,1,20.94,68.42,1.5,949,4036,4985
8/10/2011,Winter,2011,10,0,Sun,1,21.39,70.13,3.04,2235,3174,5409
9/10/2011,Winter,2011,10,0,Mon,1,22.17,72.75,4.25,2397,3114,5511
10/10/2011,Winter,2011,10,1,Tues,1,23.4,73.38,2.83,1514,3603,5117
11/10/2011,Winter,2011,10,0,Wed,2,23.23,80.88,9.58,667,3896,4563
12/10/2011,Winter,2011,10,0,Thurs,3,22.28,90.63,16.63,217,2199,2416
13/10/2011,Winter,2011,10,0,Fri,2,24.16,89.67,9.5,290,2623,2913
14/10/2011,Winter,2011,10,0,Sat,2,22.58,71.63,15,529,3115,3644
15/10/2011,Winter,2011,10,0,Sun,1,20.77,48.33,17.29,1899,3318,5217
16/10/2011,Winter,2011,10,0,Mon,1,20.98,48.67,18.88,1748,3293,5041
17/10/2011,Winter,2011,10,0,Tues,1,21.9,57.96,11.75,713,3857,4570
18/10/2011,Winter,2011,10,0,Wed,2,21.83,70.17,7.38,637,4111,4748
19/10/2011,Winter,2011,10,0,Thurs,3,22.21,89.52,16.3,254,2170,2424
20/10/2011,Winter,2011,10,0,Fri,1,19.51,63.63,28.29,471,3724,4195
21/10/2011,Winter,2011,10,0,Sat,1,17.53,57.42,14.83,676,3628,4304
22/10/2011,Winter,2011,10,0,Sun,1,17.32,62.92,6.21,1499,2809,4308
23/10/2011,Winter,2011,10,0,Mon,1,17.29,74.13,6.67,1619,2762,4381
24/10/2011,Winter,2011,10,0,Tues,1,19,77.21,7.96,699,3488,4187
25/10/2011,Winter,2011,10,0,Wed,1,19.34,62.29,11.17,695,3992,4687
26/10/2011,Winter,2011,10,0,Thurs,2,19.85,72.04,9.96,404,3490,3894
27/10/2011,Winter,2011,10,0,Fri,2,19.27,81.29,13.25,240,2419,2659
28/10/2011,Winter,2011,10,0,Sat,2,13.56,58.58,15.38,456,3291,3747
29/10/2011,Winter,2011,10,0,Sun,3,10.42,88.25,23.54,57,570,627
30/10/2011,Winter,2011,10,0,Mon,1,13.09,62.38,11.83,885,2446,3331
31/10/2011,Winter,2011,10,0,Tues,1,13.94,70.33,7.13,362,3307,3669
1/11/2011,Winter,2011,11,0,Wed,1,16.43,68.38,9.08,410,3658,4068
2/11/2011,Winter,2011,11,0,Thurs,1,15.48,71.88,5.5,370,3816,4186
3/11/2011,Winter,2011,11,0,Fri,1,16.74,70.21,9.17,318,3656,3974
4/11/2011,Winter,2011,11,0,Sat,2,16.54,62.25,18.21,470,3576,4046
5/11/2011,Winter,2011,11,0,Sun,1,13.39,51.92,12.67,1156,2770,3926
6/11/2011,Winter,2011,11,0,Mon,1,14.28,73.46,6.17,952,2697,3649
7/11/2011,Winter,2011,11,0,Tues,1,16.2,75.88,3.83,373,3662,4035
8/11/2011,Winter,2011,11,0,Wed,1,16.74,72.17,4.63,376,3829,4205
9/11/2011,Winter,2011,11,0,Thurs,1,16.4,75.83,4.17,305,3804,4109
